feature,shape,tone
ba,fall,1
cc,flat,3
cb,fall,2
ca,fall,2
cb,fall,4
bb,flat,2
ba,fall,4
bc,rise,4
ab,rise,1
ca,fall,2
cc,flat,1
cb,fall,2
ca,fall,4
aa,flat,4
ab,rise,4
aa,flat,4
cb,fall,1
cc,flat,1
ab,rise,2
bc,rise,4
ac,rise,3
cb,fall,5
ac,rise,3
bb,flat,2
ca,fall,1
ab,rise,3
cc,flat,4
ac,rise,4
ac,rise,4
cb,fall,3
ab,rise,3
cb,fall,2
cc,flat,2
ca,fall,2
ca,fall,4
cb,fall,3
ac,rise,2
ca,fall,3
cc,flat,1
cb,fall,1
ca,fall,2
cc,flat,3
ac,rise,4
ab,rise,2
ab,rise,2
cb,fall,1
ca,fall,2
cb,fall,4
ab,rise,3
ac,rise,2
ab,rise,3
ab,rise,3
cb,fall,2
ca,fall,2
ab,rise,2
ca,fall,3
cb,fall,3
cb,fall,3
ac,rise,3
ca,fall,2
ba,fall,2
ca,fall,1
ba,fall,4
ab,rise,1
ab,rise,2
ca,fall,3
ab,rise,1
cb,fall,1
ab,rise,4
ab,rise,2
ab,rise,3
cb,fall,4
bb,flat,4
ca,fall,4
ca,fall,4
ca,fall,1
cc,flat,4
ac,rise,4
bc,rise,4
ca,fall,1
ca,fall,4
ab,rise,3
ba,fall,4
ca,fall,4
cb,fall,2
ab,rise,4
cb,fall,4
ab,rise,4
cb,fall,2
ab,rise,1
ab,rise,1
ab,rise,2
bc,rise,2
ca,fall,4
bc,rise,4
ab,rise,4
ca,fall,1
cc,flat,4
ab,rise,1
cc,flat,1
ca,fall,4
cb,fall,1
cb,fall,4
ab,rise,1
cb,fall,5
cc,flat,3
ca,fall,1
bb,flat,1
cb,fall,3
ca,fall,1
ab,rise,3
bb,flat,1
ca,fall,4
ca,fall,4
ac,rise,4
cb,fall,1
ca,fall,1
bc,rise,1
ac,rise,3
ca,fall,1
ac,rise,2
cb,fall,4
cb,fall,3
ab,rise,4
ab,rise,1
bb,flat,1
ab,rise,4
ac,rise,4
ca,fall,3
cc,flat,1
ab,rise,2
bc,rise,1
cb,fall,4
aa,flat,4
ac,rise,4
ca,fall,3
cb,fall,1
ac,rise,3
ab,rise,3
bc,rise,4
bb,flat,3
cb,fall,5
ca,fall,1
ac,rise,3
bc,rise,4
ac,rise,1
ab,rise,2
ca,fall,2
cb,fall,3
cb,fall,1
ab,rise,4
cc,flat,1
cb,fall,1
aa,flat,1
aa,flat,4
ac,rise,4
cb,fall,3
bb,flat,1
ab,rise,3
ac,rise,4
ab,rise,2
ca,fall,3
bc,rise,2
ab,rise,1
ac,rise,3
cc,flat,1
ac,rise,1
aa,flat,2
aa,flat,3
ac,rise,4
ab,rise,1
ca,fall,4
ab,rise,4
bc,rise,2
ac,rise,3
cb,fall,1
bb,flat,1
ab,rise,1
ac,rise,1
ab,rise,1
ac,rise,2
ca,fall,2
ac,rise,1
ca,fall,3
bc,rise,2
ca,fall,2
cb,fall,2
ac,rise,2
ba,fall,1
ca,fall,4
ab,rise,1
aa,flat,3
cb,fall,2
ba,fall,1
ab,rise,2
cb,fall,3
ac,rise,4
bc,rise,2
ac,rise,1
ca,fall,3
cb,fall,3
cb,fall,2
ba,fall,1
ac,rise,3
ac,rise,3
cb,fall,2
bb,flat,2
cb,fall,1
ab,rise,4
ca,fall,4
ab,rise,1
aa,flat,4
ab,rise,5
ac,rise,4
cb,fall,4
cb,fall,4
ac,rise,1
aa,flat,2
ab,rise,2
ab,rise,2
cb,fall,4
ac,rise,1
bb,flat,4
ca,fall,3
ac,rise,2
cb,fall,2
cb,fall,1
ca,fall,2
cc,flat,3
cc,flat,2
ca,fall,2
cb,fall,2
cb,fall,1
ba,fall,2
aa,flat,2
bc,rise,1
aa,flat,1
ab,rise,3
ca,fall,2
ac,rise,2
ca,fall,2
ba,fall,4
cb,fall,4
ac,rise,3
ac,rise,3
cb,fall,3
ba,fall,4
bc,rise,4
ab,rise,1
ab,rise,1
cb,fall,2
ab,rise,1
ab,rise,3
ca,fall,3
aa,flat,1
bb,flat,1
ca,fall,2
ca,fall,2
ab,rise,1
ac,rise,4
cb,fall,2
ca,fall,3
bb,flat,4
cc,flat,1
ca,fall,2
ac,rise,1
bc,rise,2
bc,rise,4
cb,fall,1
bc,rise,1
cb,fall,4
bc,rise,1
ac,rise,2
bb,flat,4
aa,flat,3
bc,rise,3
cb,fall,2
ba,fall,1
bb,flat,1
bc,rise,4
ca,fall,3
ab,rise,3
bc,rise,4
bc,rise,4
ab,rise,1
ca,fall,4
ac,rise,4
ca,fall,1
cb,fall,4
cb,fall,3
cc,flat,4
ab,rise,4
cc,flat,1
cb,fall,4
cb,fall,1
cb,fall,1
bc,rise,2
ab,rise,3
ba,fall,5
ca,fall,1
ab,rise,4
cc,flat,4
cb,fall,1
ab,rise,2
bb,flat,1
ca,fall,1
ca,fall,4
bb,flat,1
cb,fall,2
cb,fall,1
bb,flat,1
cc,flat,1
cb,fall,2
ac,rise,4
cb,fall,1
bc,rise,5
cc,flat,2
cb,fall,4
bb,flat,1
ca,fall,1
ba,fall,2
ab,rise,1
ac,rise,1
cb,fall,2
cb,fall,1
cb,fall,4
bc,rise,1
ca,fall,2
ba,fall,1
ab,rise,1
cb,fall,4
ac,rise,4
ab,rise,2
ca,fall,1
ac,rise,5
ac,rise,1
ab,rise,3
ab,rise,1
ab,rise,2
aa,flat,3
ba,fall,3
ab,rise,3
ac,rise,1
ab,rise,4
ac,rise,4
bc,rise,2
ac,rise,4
aa,flat,3
ab,rise,2
ca,fall,3
ab,rise,4
ab,rise,4
ac,rise,4
ab,rise,3
cb,fall,2
bb,flat,5
bb,flat,4
ab,rise,1
ab,rise,4
bc,rise,4
cc,flat,3
ac,rise,2
cc,flat,3
cb,fall,2
ab,rise,2
aa,flat,2
cc,flat,3
cc,flat,1
ca,fall,2
bb,flat,2
ac,rise,4
ca,fall,2
ac,rise,2
cb,fall,2
aa,flat,4
cb,fall,2
bc,rise,2
ac,rise,2
bb,flat,2
ab,rise,4
ab,rise,2
bb,flat,2
bc,rise,4
ac,rise,3
ba,fall,3
ac,rise,4
ab,rise,4
cb,fall,3
ba,fall,1
ca,fall,2
cb,fall,2
cc,flat,2
ac,rise,3
cb,fall,2
bc,rise,2
cb,fall,3
ca,fall,3
cb,fall,2
ca,fall,1
ab,rise,2
aa,flat,1
ca,fall,2
ca,fall,2
cc,flat,2
ac,rise,1
cb,fall,2
cb,fall,4
ab,rise,4
bc,rise,1
ba,fall,4
ac,rise,4
ab,rise,4
ba,fall,4
ab,rise,2
ab,rise,4
aa,flat,3
ab,rise,4
ac,rise,4
ac,rise,3
ab,rise,4
ba,fall,4
cb,fall,2
cb,fall,2
cb,fall,3
cb,fall,2
cb,fall,1
ba,fall,1
cc,flat,1
ca,fall,1
ab,rise,4
ab,rise,4
cb,fall,1
aa,flat,5
ab,rise,1
ac,rise,4
ab,rise,4
bb,flat,4
cb,fall,4
ab,rise,4
ab,rise,4
bc,rise,4
ac,rise,4
ac,rise,4
cb,fall,1
ca,fall,3
ca,fall,1
ca,fall,5
ac,rise,4
ca,fall,1
ab,rise,4
aa,flat,2
ca,fall,2
ac,rise,1
ab,rise,2
cb,fall,1
aa,flat,2
ac,rise,1
ab,rise,2
ba,fall,4
ca,fall,3
ac,rise,3
cb,fall,1
ac,rise,3
cb,fall,2
bc,rise,4
ac,rise,4
ac,rise,3
cb,fall,4
ca,fall,2
ca,fall,2
bb,flat,2
ca,fall,4
bc,rise,2
ab,rise,4
ba,fall,4
ca,fall,4
bc,rise,2
ac,rise,2
cb,fall,1
ac,rise,1
cc,flat,1
cb,fall,4
bc,rise,2
ab,rise,3
ab,rise,3
bb,flat,4
ba,fall,3
cb,fall,4
ab,rise,3
bc,rise,4
aa,flat,3
aa,flat,3
cb,fall,3
ca,fall,5
bb,flat,1
bc,rise,4
ca,fall,5
cc,flat,1
ab,rise,1
ab,rise,4
ac,rise,4
bc,rise,5
ca,fall,1
cc,flat,1
ba,fall,2
ca,fall,4
ca,fall,3
ab,rise,1
ab,rise,2
cb,fall,1
ac,rise,2
cb,fall,2
ca,fall,1
ba,fall,5
ac,rise,1
aa,flat,1
ba,fall,4
ab,rise,1
ac,rise,3
aa,flat,1
cc,flat,1
bb,flat,1
ac,rise,5
bb,flat,2
cb,fall,1
ba,fall,4
cc,flat,1
ab,rise,2
ac,rise,4
ca,fall,4
ab,rise,2
bb,flat,4
bc,rise,3
ba,fall,2
ab,rise,3
ab,rise,3
cb,fall,1
cb,fall,4
ac,rise,2
ab,rise,1
ac,rise,3
ba,fall,3
bc,rise,1
cc,flat,4
bc,rise,2
ba,fall,4
ac,rise,1
ab,rise,2
ac,rise,3
cb,fall,1
aa,flat,1
cc,flat,1
ac,rise,4
bb,flat,2
bc,rise,5
ca,fall,1
cb,fall,2
bc,rise,4
bc,rise,2
ab,rise,1
ab,rise,1
ca,fall,2
ab,rise,2
ab,rise,4
bc,rise,2
cb,fall,1
ac,rise,3
ac,rise,4
ca,fall,4
ca,fall,3
cb,fall,3
cb,fall,2
ab,rise,2
cb,fall,4
cc,flat,1
cb,fall,3
cc,flat,2
cb,fall,2
bb,flat,1
cc,flat,2
cc,flat,4
ba,fall,4
cb,fall,2
bb,flat,4
ac,rise,4
cc,flat,2
bb,flat,3
cc,flat,2
ab,rise,4
ba,fall,2
ba,fall,3
ac,rise,1
cb,fall,5
bb,flat,1
aa,flat,1
cb,fall,5
cb,fall,1
cb,fall,4
ca,fall,3
aa,flat,3
cc,flat,2
ac,rise,2
ab,rise,2
bc,rise,2
ca,fall,2
cb,fall,4
ba,fall,1
cb,fall,4
cb,fall,3
cb,fall,3
cb,fall,1
ab,rise,4
cb,fall,4
cc,flat,3
bc,rise,3
ab,rise,3
ab,rise,2
bb,flat,1
aa,flat,3
ac,rise,1
ca,fall,2
ac,rise,1
ac,rise,4
ac,rise,3
cb,fall,4
ac,rise,2
bc,rise,4
bc,rise,2
ac,rise,3
cb,fall,1
ab,rise,2
cc,flat,3
ca,fall,2
ca,fall,3
cb,fall,2
ac,rise,2
ab,rise,3
aa,flat,3
cb,fall,1
bc,rise,2
bb,flat,4
ab,rise,3
bc,rise,3
ab,rise,4
ab,rise,4
cb,fall,5
cb,fall,1
ba,fall,5
ab,rise,4
ab,rise,4
ca,fall,4
aa,flat,1
ca,fall,4
cb,fall,4
ab,rise,4
bb,flat,4
cb,fall,4
cb,fall,3
ca,fall,3
aa,flat,4
ca,fall,1
ca,fall,4
ac,rise,3
ac,rise,3
ba,fall,1
ac,rise,4
cb,fall,1
ab,rise,3
bc,rise,2
ab,rise,4
cb,fall,2
ca,fall,1
ba,fall,2
bc,rise,1
bb,flat,1
cc,flat,4
cb,fall,4
ba,fall,1
ca,fall,1
ac,rise,3
ac,rise,4
aa,flat,1
ca,fall,3
cb,fall,1
ca,fall,3
ca,fall,1
bb,flat,2
ca,fall,1
bc,rise,1
cb,fall,2
bb,flat,1
ab,rise,4
cb,fall,2
ca,fall,4
bb,flat,3
aa,flat,2
aa,flat,3
ab,rise,2
ac,rise,4
cb,fall,2
cc,flat,3
bc,rise,1
cb,fall,3
cb,fall,3
cb,fall,3
ab,rise,2
ab,rise,1
bb,flat,1
ac,rise,4
bc,rise,3
cb,fall,3
cb,fall,4
ab,rise,1
bb,flat,4
cb,fall,4
bb,flat,3
ab,rise,1
bb,flat,4
bb,flat,2
ac,rise,4
aa,flat,4
ab,rise,2
bb,flat,3
ab,rise,2
bc,rise,3
cc,flat,4
bb,flat,3
cb,fall,2
ab,rise,4
aa,flat,4
bb,flat,4
ab,rise,3
cb,fall,2
ac,rise,2
ba,fall,3
bc,rise,2
cb,fall,1
cb,fall,3
bb,flat,3
ca,fall,3
cb,fall,3
ab,rise,2
ab,rise,3
ac,rise,3
cc,flat,3
bb,flat,1
cb,fall,1
bc,rise,5
ca,fall,1
ac,rise,1
aa,flat,1
bc,rise,4
cb,fall,2
ac,rise,1
ab,rise,4
cb,fall,1
ab,rise,3
ca,fall,3
aa,flat,1
ca,fall,4
ac,rise,4
cb,fall,1
ac,rise,2
cb,fall,2
cb,fall,4
ab,rise,2
cb,fall,4
bb,flat,2
bb,flat,3
bc,rise,1
cc,flat,1
ac,rise,1
ca,fall,4
ba,fall,3
cb,fall,4
bc,rise,1
ac,rise,4
cb,fall,4
